id,slaveId,datStart,datEnd,duration,channel1,channel2,channel3,channel4,error
158,2,01:21.9,09:41.9,500,1,0,3,0,0
159,2,09:41.9,26:21.9,1000,1,2,3,0,0
160,2,26:21.9,34:41.9,500,1,0,3,0,0
161,2,34:41.9,51:21.9,1000,1,2,3,0,0
162,2,51:21.9,58:26.2,424,1,0,3,0,0
163,2,58:26.2,52:22.1,3236,0,0,0,0,1
164,2,52:22.1,06:21.8,840,1,2,3,0,0
165,2,06:21.8,14:41.8,500,1,0,3,0,0
166,2,14:41.8,31:21.7,1000,1,2,3,0,0
167,2,31:21.7,39:41.7,500,1,0,3,0,0
168,2,39:41.7,56:21.7,1000,1,2,3,0,0
169,2,56:21.7,04:41.7,500,1,0,3,0,0
170,2,04:41.7,21:21.7,1000,1,2,3,0,0
171,2,21:21.7,29:43.3,502,1,0,3,0,0
172,2,29:43.3,46:21.7,998,1,2,3,0,0
173,2,46:21.7,54:42.3,501,1,0,3,0,0
174,2,54:42.3,00:48.8,366,1,2,3,0,0
175,2,00:48.8,07:01.0,372,0,0,0,0,1
176,2,07:01.0,11:21.7,261,1,2,3,0,0
177,2,11:21.7,19:41.6,500,1,0,3,0,0
178,2,19:41.6,36:21.6,1000,1,2,3,0,0
179,2,36:21.6,44:41.6,500,1,0,3,0,0
180,2,44:41.6,01:21.6,1000,1,2,3,0,0
181,2,01:21.6,09:41.6,500,1,0,3,0,0
182,2,09:41.6,26:21.6,1000,1,2,3,0,0
183,2,26:21.6,34:41.6,500,1,0,3,0,0
184,2,34:41.6,51:21.6,1000,1,2,3,0,0
185,2,51:21.6,59:41.5,500,1,0,3,0,0
186,2,59:41.5,16:21.5,1000,1,2,3,0,0
187,2,16:21.5,24:41.5,500,1,0,3,0,0
188,2,24:41.5,41:21.5,1000,1,2,3,0,0
189,2,41:21.5,49:41.5,500,1,0,3,0,0
190,2,49:41.5,06:21.5,1000,1,2,3,0,0
191,2,06:21.5,14:41.4,500,1,0,3,0,0
192,2,14:41.4,31:21.5,1000,1,2,3,0,0
193,2,31:21.5,39:42.0,501,1,0,3,0,0
194,2,39:42.0,51:38.1,716,1,2,3,0,0
195,2,51:38.1,52:12.4,34,0,0,0,0,0
196,2,52:12.4,08:54.5,83802,0,0,0,0,1
197,2,08:54.5,09:22.0,27,0,0,0,0,0
198,2,09:22.0,26:01.9,1000,1,2,3,0,0
199,2,26:01.9,34:21.9,500,1,0,3,0,0
200,2,34:21.9,51:01.9,1000,1,2,3,0,0
201,2,51:01.9,59:21.9,500,1,0,3,0,0
202,2,59:21.9,16:01.8,1000,1,2,3,0,0
203,2,16:01.8,24:21.8,500,1,0,3,0,0
204,2,24:21.8,41:01.8,1000,1,2,3,0,0
205,2,41:01.8,49:21.8,500,1,0,3,0,0
206,2,49:21.8,06:01.8,1000,1,2,3,0,0
207,2,06:01.8,14:21.7,500,1,0,3,0,0
208,2,14:21.7,31:01.8,1000,1,2,3,0,0
209,2,31:01.8,39:21.7,500,1,0,3,0,0
210,2,39:21.7,56:01.7,1000,1,2,3,0,0
211,2,56:01.7,04:21.7,500,1,0,3,0,0
212,2,04:21.7,17:26.2,785,1,2,3,0,0
